"Town","Pid","STName","PType","Tel","Fax","Address","TmX","TmY"
"南澳鄉","3","武塔社區活動中心","分部","","","宜蘭縣南澳鄉武塔村新溪路溫泉巷7之1號","",""
"員山鄉","5","光與影民宿","分部","03-232713","","宜蘭縣員山鄉尚德村大湖20路25號","",""
"大同鄉","3","四方林分部","分部","03-9517460","","宜蘭縣大同鄉寒溪村自強新村1號","",""
"三星鄉","5","大隱分部","分部","0933-104114","","宜蘭縣三星鄉三星路一段553巷48號","",""
"員山鄉","3","大安藥草休閒農場","分部","03-9232808","","宜蘭縣員山鄉同樂村蘭城路42-21號","",""
"五結鄉","7","錦草社區","分部","","","宜蘭縣五結鄉錦草路37-1號","",""
"冬山鄉","11","南興分部","分部","03-959-0295","","宜蘭縣冬山鄉冬山路98號之2","",""
"冬山鄉","6","大興分部","分部","03-959-6722","","宜蘭縣冬山鄉福興東路48號","",""
"蘇澳鎮","10","蘇澳鎮新城社區","分部","03-9903816","","宜蘭縣蘇澳鎮新城北路50-1號","",""
"大同鄉","1","大同國小","本部","03-9801172分機21","03-9801902","宜蘭縣大同鄉崙埤村朝陽巷10-9號","",""
"頭城鎮","3","竹安國小","分部","03-9771178","","宜蘭縣頭城鎮濱海路一段601號","",""
"頭城鎮","4","武營活動中心","分部","0935169273；(呂齡齡老師)","","宜蘭縣頭城鎮武營里開蘭路","",""
