Type,Name,Chief,Address,Phone
西醫診所,蔡仰中眼科診所,蔡仰中,宜蘭縣宜蘭市宜興路一段113號及111號4樓,03-9357171
西醫診所,黃芳裕診所,黃芳裕,宜蘭縣宜蘭市神農里１鄰光復路２１號,03-9365198
西醫診所,明仁眼科診所,方稔,宜蘭縣宜蘭市中山路二段２３１號,03-9330303
西醫診所,華杏診所,周揚華,宜蘭縣宜蘭市民族路290號,03-9321512
西醫診所,譚國勇婦產科診所,譚國勇,宜蘭縣宜蘭市中山路三段１５７號,03-9366797
西醫診所,徐英忠耳鼻喉科美形診所,徐英忠,宜蘭縣宜蘭市復興路29號1、2樓,03-9352966
西醫診所,張志強眼科診所,張志強,宜蘭縣宜蘭市中山路三段７２號,03-9333372
西醫診所,曹天德診所,曹天德,宜蘭縣宜蘭市舊城東路３－１號,03-9353267
西醫診所,吳宗儒復健科診所,吳宗儒,宜蘭縣宜蘭市昇平里康樂路１０３號,03-9359555
西醫診所,普仁健康診所,楊婉珍,宜蘭縣宜蘭市民權路一段二號,03-9328308
西醫診所,陳義文小兒科診所,陳義文,宜蘭縣宜蘭市中山路二段358號1樓,03-9369885
西醫診所,明裕診所,黃明裕,宜蘭縣宜蘭市神農路二段69號,03-9311327
西醫診所,林耳鼻喉科診所,林旺枝,宜蘭縣宜蘭市中山路三段233號,03-9311234
西醫診所,徐瑪里婦產科診所,徐瑪里,宜蘭縣宜蘭市中山路三段１４６號３樓,03-9364714
西醫診所,李耳鼻喉科診所,李有恭,宜蘭縣宜蘭市崇聖街３３號之２,03-9322622
西醫診所,李文生皮膚科診所,李文生,宜蘭縣宜蘭市中山路三段４２號,03-9310303
西醫診所,黃建財診所,黃建財,宜蘭縣宜蘭市舊城西路79號,03-9333657
西醫診所,潘仁進診所,潘仁進,宜蘭縣宜蘭市中山路二段61號一樓,03-9313808
西醫診所,和信診所,汪立偉,宜蘭縣宜蘭市和睦路團管區巷17號1樓,03-9313505
西醫診所,陳漢憲診所,陳漢憲,宜蘭縣宜蘭市校舍路89號,03-9381833
西醫診所,蔡俊逸診所,蔡俊逸,宜蘭縣宜蘭市中山路二段225號,03-9355228
西醫診所,陳耳鼻喉科診所,陳英俊,宜蘭縣宜蘭市聖後街163號,03-9322218
西醫診所,永合診所,鄭永祥,宜蘭縣宜蘭市昇平街72號,03-9327483
西醫診所,聖恩診所,周澤霖,宜蘭縣宜蘭市中山路三段163號,03-9324053
西醫診所,聖心聯合診所,黃寶凱,宜蘭縣宜蘭市同興街101號,03-9356414
西醫診所,鄭在鈞復健科診所,鄭在鈞,宜蘭縣宜蘭市文昌路51號,03-9356673
西醫診所,宜蘭翰林眼科診所,黃韻穎,宜蘭縣宜蘭市中山路三段227號,03-9327880
西醫診所,林宏俊診所,林宏俊,宜蘭縣宜蘭市中山路三段211號,03-9330010
西醫診所,建成骨外科診所,柳一飛,宜蘭縣宜蘭市復興路66號,03-9321678
西醫診所,卓越整形外科診所,吳維,宜蘭縣宜蘭市光復路41號,03-9334928
西醫診所,厚生診所,周文容,宜蘭縣宜蘭市復興路32號,03-9358611
西醫診所,開蘭安心診所,陳玫君,宜蘭縣宜蘭市神農路1段95號1、2樓97號1樓,03-9311220
西醫診所,得安診所,林新泰,宜蘭縣宜蘭市中山路3段152號5樓1~2,03-9325358
西醫診所,許明哲耳鼻喉科診所,許明哲,宜蘭縣宜蘭市中山路2段308號1樓,03-9321168
西醫診所,青田診所,游振超,宜蘭縣宜蘭市宜興路一段79之1號,03-9351291
西醫診所,呂學劼診所,呂學劼,宜蘭縣宜蘭市復興路35號,03-9362245
西醫診所,光中身心診所,劉光中,宜蘭縣宜蘭市光復路30號2樓,03-9312300
西醫診所,胡進忠眼科診所,胡進忠,宜蘭縣宜蘭市中山路三段42-1號,03-9321010
西醫診所,宜美皮膚科診所,林文啟,宜蘭縣宜蘭市中山路二段301-2號,03-9321991
西醫診所,松禾診所,黃正明,宜蘭縣宜蘭市光復路48號10樓,03-9323068
西醫診所,羅恭箎內科診所,羅恭箎,宜蘭縣宜蘭市崇聖街83、83之1號1樓,03-9361179
西醫診所,雅信診所,莊宗運,宜蘭縣宜蘭市民權路二段102號1樓,03-9326498
西醫診所,小河馬診所,郭育昌,宜蘭縣宜蘭市女中路三段26-1號1樓,03-9360950
西醫診所,朱俊源診所,朱俊源,宜蘭縣宜蘭市中山路三段175號1樓,03-9322729
西醫診所,宜蘭普門醫療財團法人普門診所,蘇俊雄,宜蘭縣宜蘭市神農路1段87號,03-9327778
西醫診所,優昇診所,張志岳,宜蘭縣羅東鎮和平路７４號,03-9572333
西醫診所,仁和診所,林紀東,宜蘭縣羅東鎮中山路三段259號,03-9540168
西醫診所,明堂診所,李明堂,宜蘭縣羅東鎮天津路２０號,03-9542560
西醫診所,仁安診所,馬垣漢,宜蘭縣羅東鎮義和里中正街１９號,03-9543408
西醫診所,林內皮膚科診所,林永鑫,宜蘭縣羅東鎮中華路３７－１號,03-9546646
西醫診所,黃內兒科診所,黃松偉,宜蘭縣羅東鎮振泰街２１號,03-9545457
西醫診所,黃耀發小兒科診所,黃耀發,宜蘭縣羅東鎮公正里２鄰公正路１３８號,03-9563673
西醫診所,五福診所,林逸民,宜蘭縣羅東鎮中正路１０８號,03-9542344
西醫診所,吳眼科診所,吳順安,宜蘭縣羅東鎮公正里二鄰公正路９６號,03-9541905
西醫診所,洪內兒科診所,洪仁成,宜蘭縣羅東鎮集祥里１４鄰天津路３號,03-9576643
西醫診所,詹內兒科診所,詹游昭常,宜蘭縣羅東鎮公正路１２８號,03-9551047
西醫診所,陳內兒科診所,陳景郎,宜蘭縣羅東鎮民權路５６巷１１號,03-9542925
西醫診所,李鏡明內兒科,李鏡明,宜蘭縣羅東鎮公正路９８號,03-9555051
西醫診所,許醫師內兒科診所,許太平,宜蘭縣羅東鎮長春路３５號,03-9549669
西醫診所,藍內兒科診所,藍正德,宜蘭縣羅東鎮中山路三段196號,03-9568020
西醫診所,周建章診所,周建章,宜蘭縣羅東鎮集祥里１７鄰長春路２１號,03-9545081
西醫診所,泰林診所,林雍章,宜蘭縣羅東鎮成功里３鄰興東南路１７０號,03-9562546
西醫診所,石耳鼻喉科,石粵蘊,宜蘭縣羅東鎮倉前路５５號,03-9565973
西醫診所,李建政耳鼻喉科診所,李建政,宜蘭縣羅東鎮公正路２０２號,03-9540935
西醫診所,謝漢池診所,謝漢池,宜蘭縣羅東鎮忠孝路91號,03-9572081
西醫診所,仁壽診所,陳敬遠,宜蘭縣羅東鎮中正南路１９７號,03-9544175
西醫診所,王維昌診所,王維昌,宜蘭縣羅東鎮公正路１６７之３號,03-9562512
西醫診所,王步幸耳鼻喉科診所,王步幸,宜蘭縣羅東鎮興東路１３之３號,03-9565555
西醫診所,顏江龍整形外科診所,顏江龍,宜蘭縣羅東鎮南昌街３３－６號３樓,03-9545390
西醫診所,呂耳鼻喉科診所,呂瑞峰,宜蘭縣羅東鎮集祥里１７鄰公正街２５號,03-9547335
西醫診所,侯眼科診所,侯罡,宜蘭縣羅東鎮和平路１４２號,03-9561477
西醫診所,鄭裕南復健科診所,鄭裕南,宜蘭縣羅東鎮倉前路77-7號,03-9566619
西醫診所,普濟診所,李木山,宜蘭縣羅東鎮興東南路233號,03-9569270
西醫診所,溫家麟診所,溫家麟,宜蘭縣羅東鎮公正路２６４號,03-9571363
西醫診所,林正權婦產科診所,林正權,宜蘭縣羅東鎮天津路１８之１號,03-9571543
西醫診所,北成診所,陳自立,宜蘭縣羅東鎮中山路四段２４０號,03-9514467
西醫診所,陳文貴診所,陳文貴,宜蘭縣羅東鎮興東路一一八號一、二樓,03-9550101
西醫診所,洪眼科診所,洪南錦,宜蘭縣羅東鎮公正路167之1號,03-9562293
西醫診所,吳振華小兒科診所,吳振華,宜蘭縣羅東鎮中正南路63號,03-9548549
西醫診所,洪仁宗診所,洪仁宗,宜蘭縣羅東鎮興東南路257號,03-9558720
西醫診所,信德診所,李信德,宜蘭縣羅東鎮中山路三段２５８號,03-9561067
西醫診所,芳山診所,張麗芬,宜蘭縣羅東鎮中正路１５６號,03-9566210
西醫診所,佳美診所,牛芝,宜蘭縣羅東鎮公正路９５－１號,03-9547975
西醫診所,李翰林眼科診所,李翰林,宜蘭縣羅東鎮公正路２０４號,03-9559877
西醫診所,佳音診所,藍慶中,宜蘭縣羅東鎮光榮路421號,03-9604520
西醫診所,黃圭龍小兒科診所,黃圭龍,宜蘭縣羅東鎮維揚路30號1樓,03-9551193
西醫診所,蔡孟吉耳鼻喉科診所,蔡孟吉,宜蘭縣羅東鎮民生東路66號,03-9531608
西醫診所,趙耳鼻喉科診所,趙文忠,宜蘭縣羅東鎮中正街10號,03-9541033
西醫診所,陳重慶診所,陳重慶,宜蘭縣羅東鎮民族路70號,03-9574678
西醫診所,吳得中診所,吳得中,宜蘭縣羅東鎮興東路118號三樓及120號三樓,03-9561122
西醫診所,謝世雄診所,謝世雄,宜蘭縣羅東鎮倉前路53號,03-9532323
西醫診所,陳思衡復健科診所,陳思衡,宜蘭縣羅東鎮中正南路一三七號,03-9549338
西醫診所,王仁暉皮膚科診所,王仁暉,宜蘭縣羅東鎮興東南路２３１號,03-9542968
西醫診所,游信得診所,游信得,宜蘭縣羅東鎮復興路二段１６１號,03-9577795
西醫診所,游能俊診所,游能俊,宜蘭縣羅東鎮光榮路491號,03-9556670
西醫診所,藍正州小兒科診所,藍正州,宜蘭縣羅東鎮南門路20號,03-9531168
西醫診所,維揚診所,陳英詔,宜蘭縣羅東鎮維揚路136號,03-9510299
西醫診所,現代美學整形外科診所,郭政達,宜蘭縣羅東鎮光榮路61-3號,03-9571237
西醫診所,平和身心診所,陳建州,宜蘭縣羅東鎮光榮路409號3樓,03-9559960
西醫診所,王東生診所,王東生,宜蘭縣羅東鎮維揚路78號,03-9612285
西醫診所,林榆森小兒科診所,林榆森,宜蘭縣羅東鎮中正北路17號1樓,03-9559955
西醫診所,家家診所,游靜修,宜蘭縣羅東鎮中山路3段277號,03-9556228
西醫診所,光澤診所,陳聖達,宜蘭縣羅東鎮興東路117號2樓,03-9566901
西醫診所,黃志賢婦產科診所,黃志賢,宜蘭縣羅東鎮維揚路20號1樓,03-9610528
西醫診所,羅東眼科診所,游霽雲,宜蘭縣羅東鎮中正路78號1樓,03-9565256
西醫診所,東興婦產科診所,江育同,宜蘭縣羅東鎮興東路269號,03-9547102
西醫診所,林育全皮膚專科診所,林育全,宜蘭縣羅東鎮倉前路42號,03-9568788
西醫診所,劉醫師小兒科診所,劉明智,宜蘭縣羅東鎮純精路二段229號,03-9518121
西醫診所,祐民診所,蔡瑞祥,宜蘭縣羅東鎮中華路242-1號1樓,03-9577003
西醫診所,傳康診所,賴傳才,宜蘭縣羅東鎮興東南路232號2樓,03-9578119
西醫診所,吳慶順診所,吳慶順,宜蘭縣蘇澳鎮華中街５號,03-9969747
西醫診所,俞國棟診所,俞國棟,宜蘭縣蘇澳鎮蘇港路369號,03-9951396
西醫診所,周金章診所,周金章,宜蘭縣蘇澳鎮中山路一段１１６號,03-9951521
西醫診所,愛生診所,楊世楹,宜蘭縣蘇澳鎮蘇西里中山路１９４號,03-9952299
西醫診所,金明診所,吳梓明,宜蘭縣蘇澳鎮南安路175號,03-9964138
西醫診所,曾家庭醫學科診所,曾金郎,宜蘭縣蘇澳鎮永榮里大同路29號,03-9908866
西醫診所,健生全民診所,黃恩澤,宜蘭縣蘇澳鎮南寧路44號,03-9973856
西醫診所,吳昌達診所,吳昌達,宜蘭縣蘇澳鎮海邊路141號,03-9955976
西醫診所,健仁內科診所,陳佩仁,宜蘭縣蘇澳鎮興安路32號,03-9906695
西醫診所,瑞明眼科診所,林怡潔,宜蘭縣蘇澳鎮中山路1段147號,03-9951020
西醫診所,徐世明診所,徐世明,宜蘭縣蘇澳鎮建福路2號及4號,03-9908585
西醫診所,李彰義診所,李彰義,宜蘭縣頭城鎮新建里５鄰新興路１４號,03-9771688
西醫診所,仁宏診所,舒惠綸,宜蘭縣頭城鎮纘祥路79 之2號,03-9776568
西醫診所,博生診所,宋俊傑,宜蘭縣頭城鎮城東里中庸路２３號,03-9778985
西醫診所,頭城診所,莊活泉,宜蘭縣頭城鎮城西里６鄰開蘭路５０號,03-9776340
西醫診所,照仁診所,李騰長,宜蘭縣頭城鎮吉祥路８８巷２７號,03-9775101
西醫診所,吳芳霖眼科診所,吳芳霖,宜蘭縣頭城鎮纘祥路６７之６號,03-9779077
西醫診所,杏林診所,黃茂林,宜蘭縣頭城鎮新興路１７號,03-9771486
西醫診所,周診所,周文宗,宜蘭縣礁溪鄉中山路二段21號1樓,03-9887542
西醫診所,吳震世診所,吳震世,宜蘭縣礁溪鄉大忠村中山路一段９９號,03-9871268
西醫診所,岱山診所,陳問心,宜蘭縣礁溪鄉礁溪路五段１７號,03-9872189
西醫診所,陳內科診所,陳信實,宜蘭縣礁溪鄉中山路一段214號,03-9882606
西醫診所,安信診所,吳家銘,宜蘭縣礁溪鄉中山路1段120號,03-9888001
西醫診所,陳登賢診所,陳登賢,宜蘭縣壯圍鄉壯濱路三段385號,03-9305029
西醫診所,大福診所,張哲明,宜蘭縣壯圍鄉壯濱路6段231號,03-9308842
西醫診所,楊崑診所,楊崑,宜蘭縣壯圍鄉吉祥村中央路2段297號,03-9388378
西醫診所,張世屏診所,張世屏,宜蘭縣員山鄉員山村員山路１段１66號,03-9223909
西醫診所,信望愛診所,蘇傳凱,宜蘭縣員山鄉復興路6號,03-9221550
西醫診所,群英診所,鄭信雄,宜蘭縣冬山鄉群英村和平路９號,03-9581924
西醫診所,徐診所,徐慧琪,宜蘭縣冬山鄉照安路33巷32號,03-9590923
西醫診所,林聰源診所,林聰源,宜蘭縣冬山鄉義成路二段３７５號,03-9582772
西醫診所,吳建志診所,吳建志,宜蘭縣冬山鄉冬山路五段212號,03-9566799
西醫診所,王內科診所,王德鏡,宜蘭縣冬山鄉義成路三段５６２號,03-9550877
西醫診所,江心修診所,江心修,宜蘭縣冬山鄉廣興路２１５號,03-9611097
西醫診所,振生診所,周振生,宜蘭縣冬山鄉冬山路247號,03-9596550
西醫診所,古醫生保健診所,古美娟,宜蘭縣冬山鄉義成路3段320號,03-9585950
西醫診所,永生診所,于篤,宜蘭縣五結鄉利成路2段366號,03-9503148
西醫診所,吉祥診所,周吉祥,宜蘭縣五結鄉五結中路二段23號,03-9604853
西醫診所,宏安診所,張啟宏,宜蘭縣五結鄉中正路1段168號,03-9576893
西醫診所,禾風時尚診所,陳家益,宜蘭縣五結鄉中正路1段158號,03-9561989
西醫診所,王家泰診所,王家泰,宜蘭縣五結鄉上四村中正西路23號,03-9650861
西醫診所,三星診所,洪桂輝,宜蘭縣三星鄉三星路五段１６２號,03-9892033
西醫診所,仁佑診所,劉迺順,宜蘭縣三星鄉三星路五段67號,03-9892573
西醫診所,侯茂華診所,侯茂華,宜蘭縣三星鄉三星路1段521號,03-9897417
西醫診所,皇尚診所,蔡蜀簡,宜蘭縣南澳鄉蘇花路二段357號,03-9982300
西醫診所,文平診所,曹添壽,宜蘭縣南澳鄉蘇花路二段171號,03-9982998
西醫診所,大愛診所,汪淑倩,宜蘭縣南澳鄉蘇花路二段383號,03-9984388
西醫診所,醫療財團法人台灣血液基金會花蓮捐血中心宜蘭捐血站,林麗玲,宜蘭縣宜蘭市進士里擺里路１６－７號,03-9325544
中醫診所,六安堂中醫診所,姜仁勇,宜蘭縣宜蘭市光復路２３號,03-9334565
中醫診所,慶安中醫診所,周素瑛,宜蘭縣宜蘭市和睦路７０號,03-9357877
中醫診所,仁德堂中醫診所,蔡武賢,宜蘭縣宜蘭市神農路一段39號,03-9333020
中醫診所,林鴻飛中醫診所,林鴻飛,宜蘭縣宜蘭市延平路３８－４５號,03-9387899
中醫診所,德安中醫診所,潘麗安,宜蘭縣宜蘭市復興路49號,03-9330220
中醫診所,六順中醫診所,陳信全,宜蘭縣宜蘭市宜興路1段55號,03-9366696
中醫診所,仁濟中醫聯合診所,劉德才,宜蘭縣宜蘭市文昌路147之1號,03-9323249
中醫診所,慶餘堂中醫診所,林兆南,宜蘭縣宜蘭市康樂路5號,0928-522073
中醫診所,成春中醫診所,林占東,宜蘭縣宜蘭市康樂路九十號,03-9322606
中醫診所,國泰中醫診所,林奕祺,宜蘭縣宜蘭市農權路三段10號,03-9360869
中醫診所,新南大中醫診所,高祐琛,宜蘭縣宜蘭市宜興路1段97號,03-9355007
中醫診所,宜蘭現代中醫診所,楊奇芳,宜蘭縣宜蘭市校舍路161號,03-9384995
中醫診所,明悅中醫診所,林衍志,宜蘭縣宜蘭市中山路2段147號1樓、149號1樓,03-9368533
中醫診所,喜樂經典中醫診所,郭力豪,宜蘭縣宜蘭市中山路3段231號1樓,03-9355651
中醫診所,宜康中醫診所,邱錦源,宜蘭縣宜蘭市民族路338-1號,03-9330500
中醫診所,慧仁中醫診所,王智龍,宜蘭縣宜蘭市光復路88號,03-9361266
中醫診所,炎鐘中醫診所,賴慧真,宜蘭縣宜蘭市崇聖街59-3號1樓,03-9358188
中醫診所,羅國鶴中醫診所,羅國鶴,宜蘭縣羅東鎮維揚路188號,03-9515825;03-9515835
中醫診所,現代中醫診所,莊淑秋,宜蘭縣羅東鎮公正路405號,03-9613361
中醫診所,佳恩中醫診所,林永金,宜蘭縣羅東鎮中華路70號,03-9560558
中醫診所,同仁堂中醫聯合診所,陳滄龍,宜蘭縣羅東鎮天津路60號,03-9573095
中醫診所,愛欣中醫診所,彭玉如,宜蘭縣羅東鎮維揚路26巷30號,03-9610909
中醫診所,羅東仁濟中醫聯合診所,陳宗寶,宜蘭縣羅東鎮興東南路１號,03-9533106
中醫診所,羅東南大中醫診所,許蘭群,宜蘭縣羅東鎮中山路三段438號,03-9531717
中醫診所,養生堂中醫診所,白明堂,宜蘭縣羅東鎮林森路101號,03-9541010
中醫診所,一生中醫診所,陳俊良,宜蘭縣羅東鎮光榮路328號,03-9603753
中醫診所,存仁堂中醫診所,陳振聲,宜蘭縣羅東鎮倉前路36、38號,03-9573456
中醫診所,怡得心中醫診所,謝仲倫,宜蘭縣羅東鎮中山路四段262號,03-9610068
中醫診所,得福中醫診所,薛文超,宜蘭縣羅東鎮公正路115號,03-9556565
中醫診所,六福中醫診所,蘇俊銘,宜蘭縣羅東鎮成功里南門路３７號,03-9571130
中醫診所,觀自在中醫診所,楊岳霖,宜蘭縣羅東鎮興東南路131號,03-9576835
中醫診所,三星堂中醫診所,黃啟育,宜蘭縣羅東鎮興東路176號,03-9563590
中醫診所,祥安中醫診所,連慧香,宜蘭縣羅東鎮興東路233號,03-9574515
中醫診所,李冠儀中醫診所,李冠儀,宜蘭縣羅東鎮文化街84號1樓,03-9565785
中醫診所,鴻安中醫診所,簡美釵,宜蘭縣羅東鎮國華里四育路85號,03-9616093
中醫診所,世揚中醫診所,林世揚,宜蘭縣蘇澳鎮蘇西里中山路１１３號,03-9962038
中醫診所,仁安中醫診所,林國盟,宜蘭縣頭城鎮纘祥路６７－２號,03-9771442
中醫診所,陳春光中醫診所,陳春光,宜蘭縣頭城鎮吉祥路九十號,03-9782937
中醫診所,曾燦傑中醫診所,曾燦傑,宜蘭縣礁溪鄉礁溪路１段248號,03-9287551
中醫診所,大新中醫診所,王秀敏,宜蘭縣礁溪鄉中山路一段203號,03-9880080
中醫診所,國榮中醫診所,何國榮,宜蘭縣冬山鄉冬山路五段３９９號,03-9680266
中醫診所,吉慶中醫診所,黃堅吉,宜蘭縣冬山鄉群英村義成路３段５５２號,03-9568635
中醫診所,同濟中醫診所,方維琳,宜蘭縣五結鄉五結村中興路2段60號,03-9506507
中醫診所,星現代中醫診所,黃貴言,宜蘭縣三星鄉三星路五段180號,03-9895588
牙醫診所,田園牙醫診所,蔣家興,宜蘭縣三星鄉義德村義興路８９號,03-9894040
牙醫診所,利生牙醫診所,林茂長,宜蘭縣五結鄉利澤村利澤路６８號,03-9502104
牙醫診所,林文通牙醫診所,林文通,宜蘭縣五結鄉協和村五結路二段317巷6號,03-9509333
牙醫診所,林尚宏牙科診所,林尚宏,宜蘭縣冬山鄉冬山村冬山路255號,03-9592072
牙醫診所,我家牙醫診所,張文保,宜蘭縣冬山鄉照安路33巷18號1樓,03-9592895
牙醫診所,大千牙醫診所,楊賓榮,宜蘭縣冬山鄉群英村義成路３段４３８號,03-9680125
牙醫診所,和平牙醫診所,鄭東台,宜蘭縣壯圍鄉吉祥村壯五路２６５號,03-9381114
牙醫診所,慈安牙醫診所,林正岳,宜蘭縣壯圍鄉壯五路264號,03-9382009
牙醫診所,達文西牙醫診所,吳權倫,宜蘭縣宜蘭市女中路二段431號,03-9332627
牙醫診所,智勝科技牙醫診所,游智勝,宜蘭縣宜蘭市女中路三段26-2號1樓,03-9358811
牙醫診所,超群牙醫診所,林秀妮,宜蘭縣宜蘭市女中路三段300號,03-9369625
牙醫診所,佳良牙科診所,林保三,宜蘭縣宜蘭市中山里中山路１８０號,03-9330999
牙醫診所,李玉珍牙醫診所,李玉珍,宜蘭縣宜蘭市中山路二十九號二樓之一,03-9315313
牙醫診所,蘭陽牙醫診所,黃正彥,宜蘭縣宜蘭市中山路二段３２１號,03-9322527
牙醫診所,饒正美牙醫診所,饒正,宜蘭縣宜蘭市中山路二段382號,03-9325836
牙醫診所,統一牙醫診所,許重雄,宜蘭縣宜蘭市中山路三段４１號,03-9331366
牙醫診所,弘恩牙醫診所,林弘德,宜蘭縣宜蘭市中山路三段中山路１８３號,03-9322224
牙醫診所,宏宇牙醫診所,周慧玲,宜蘭縣宜蘭市中華路３７號,03-9364273
牙醫診所,幸福牙醫診所,黃偉哲,宜蘭縣宜蘭市公園路519號1、2樓,03-9256266
牙醫診所,佳康牙醫診所,劉得均,宜蘭縣宜蘭市民族路312號,03-9351357
牙醫診所,陳宜誠牙醫診所,陳宜誠,宜蘭縣宜蘭市民權新路２－１８號,03-9353800
牙醫診所,自強牙醫診所,羅鈞生,宜蘭縣宜蘭市自強路116-5號,03-9357357
牙醫診所,中山牙醫診所,李連生,宜蘭縣宜蘭市和睦路２３之２號,03-9363373
牙醫診所,大安麗緻牙醫診所,尹西安,宜蘭縣宜蘭市宜中路165號,03-9312200
牙醫診所,1001楊牙醫診所,楊忠勳,宜蘭縣宜蘭市延平路38之34號,03-9381001
牙醫診所,銘世成牙醫診所,鍾衛平,宜蘭縣宜蘭市長春路141號,03-9360390
牙醫診所,平安牙醫診所,陳致舟,宜蘭縣宜蘭市泰山路１５號,03-9351517
牙醫診所,康全牙醫診所,黃敏,宜蘭縣宜蘭市神農路1段125號1樓,03-9353623
牙醫診所,大統牙醫診所,李中庸,宜蘭縣宜蘭市神農路一段202號,03-9333195
牙醫診所,賢仁牙醫診所,許書賢,宜蘭縣宜蘭市神農路二段22號,03-9368733
牙醫診所,陳志超牙醫診所,陳志超,宜蘭縣宜蘭市健康路三段３６號,03-9354575
牙醫診所,為楷牙醫診所,陳重宏,宜蘭縣宜蘭市崇聖街35-1號,03-9324498
牙醫診所,張登富牙醫診所,張登富,宜蘭縣宜蘭市復興里健康路二段３６號,03-9355435
牙醫診所,通安全牙醫診所,侯金足,宜蘭縣宜蘭市復興路三段68號,03-9323559
牙醫診所,仁人牙醫診所,黃登宗,宜蘭縣宜蘭市新民里康樂路９６號,03-9333858
牙醫診所,宏林牙醫診所,柯智宏,宜蘭縣宜蘭市新民路１６３號１樓,03-9364391
牙醫診所,和睦牙醫診所,葉博裕,宜蘭縣宜蘭市農權路211號1樓,03-9330789
牙醫診所,清華牙醫診所,溫清華,宜蘭縣宜蘭市農權路二段15號,03-9357022
牙醫診所,一德牙醫診所,楊文熒,宜蘭縣宜蘭市黎明路三路1段42號,03-9381100
牙醫診所,陳信甫牙醫診所,陳信甫,宜蘭縣宜蘭市縣政一街7號1樓,03-9256378
牙醫診所,心德牙醫診所,吳維翊,宜蘭縣員山鄉坡城路53巷5號,03-9232766
牙醫診所,泉盈牙醫診所,甘泉,宜蘭縣員山鄉員山路一段160號,03-9220776
牙醫診所,順源牙醫診所,王棟源,宜蘭縣頭城鎮青雲路二段３５２號,03-9771387
牙醫診所,建樺牙醫診所,何俊賢,宜蘭縣頭城鎮青雲路三段172號,03-9780016
牙醫診所,喜美牙醫診所,樊仕傑,宜蘭縣頭城鎮開蘭路８５之４號,03-9777005
牙醫診所,李牙醫診所,李鏡禧,宜蘭縣頭城鎮頭濱路三段３２７號,03-9771950
牙醫診所,育生牙醫診所,吳燦亮,宜蘭縣礁溪鄉六結村中山路１段２１６號,03-9882265
牙醫診所,美佳牙醫診所,林正祺,宜蘭縣礁溪鄉礁溪路１段246號,03-9283959
牙醫診所,協安牙醫診所,吳國金,宜蘭縣礁溪鄉礁溪路4段159號,03-9889692
牙醫診所,張牙醫診所,張玉屏,宜蘭縣礁溪鄉礁溪路4段181號,03-9888451
牙醫診所,嘉心牙醫診所,張棟嘉,宜蘭縣礁溪鄉礁溪路四段六十九號,03-9888108
牙醫診所,徐牙醫診所,徐明杰,宜蘭縣羅東鎮中山路二段433號,03-9577823
