計畫年度,醫療群分區,醫療群縣市,醫療群代號,醫療群名稱,診所代號,診所名稱,診所地址,診所電話,24小時專線電話號碼,第1合作醫院代號,第1合作醫院名稱,第2合作醫院代號,第2合作醫院名稱,第3合作醫院代號,第3合作醫院名稱,第4合作醫院代號,第4合作醫院名稱,第5合作醫院代號,第5合作醫院名稱,第6合作醫院代號,第6合作醫院名稱,第7合作醫院代號,第7合作醫院名稱
105,臺北,宜蘭縣,1340202042,羅東,3534021847,吳得中診所,宜蘭縣羅東鎮興東路１１８號３樓及１２０號３樓,(03)9561122,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534021776,蔡孟吉耳鼻喉科診所,宜蘭縣羅東鎮民生東路６６號,(03)9531608,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534020573,林正權婦產科診所,宜蘭縣羅東鎮天津路１８－１號,(03)9571543,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534020206,洪內兒科診所,宜蘭縣羅東鎮集祥里天津路３號,(03)9576643,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340202042,羅東,3534021954,藍正州小兒科診所,宜蘭縣羅東鎮南門路２０號,(03)9531168,0991-233001,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534030122,吳慶順診所,宜蘭縣蘇澳鎮華中街５號,(03)9969747,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534080104,徐診所,宜蘭縣冬山鄉南興村照安路３３巷３２號,(03)9590923,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534030140,俞/國棟診所,宜蘭縣蘇澳鎮蘇港路３６９號,(03)9951396,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534031469,健生全民診所,宜蘭縣蘇澳鎮南寧路４４號,(03)9973856,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),2634031022,臺北榮民總醫院蘇澳分院附設門診部,宜蘭縣蘇澳鎮中山路１段４３９號；宜縣蘇澳鎮蘇濱路１段３０１號,(03)9952443,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534021838,陳重慶診所,宜蘭縣羅東鎮民族路７０號,(03)9574678,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534022004,林榆森小兒科診所,宜蘭縣羅東鎮中正北路１７號１樓,(03)9559955,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534021909,游信得診所,宜蘭縣羅東鎮復興路２段１６１號,(03)9577795,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340302142,平安(二),3534091214,宏安診所,宜蘭縣五結鄉中正路１段１６８號,(03)9576893,0991-127876,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,0634030014,臺北榮民總醫院蘇澳分院,,,,,,,,
105,臺北,宜蘭縣,1340402047,頭城,3534040119,照仁診所,宜蘭縣頭城鎮吉祥路８８巷２７號,(03)9775101,0991-114990,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340402047,頭城,3534040093,博生診所,宜蘭縣頭城鎮城東里中庸路２３號,(03)9778985,0991-114990,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340402047,頭城,3534040084,仁宏診所,宜蘭縣頭城鎮纘祥路７９－２號,(03)9776568,0991-114990,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340402047,頭城,3534040146,杏林診所,宜蘭縣頭城鎮新興路１７號,(03)9771486,0991-114990,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340402047,頭城,3534040100,頭城診所,宜蘭縣頭城鎮城西里開蘭路５０號,(03)9777107,0991-114990,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,0434010518,國立陽明大學附設醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,2334081026,宜蘭縣冬山鄉衛生所,宜蘭縣冬山鄉中正路１６號,(03)9594772,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,3534080140,江心修診所,宜蘭縣冬山鄉廣興路２１５號,(03)9611097,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,3534020662,信德診所,宜蘭縣羅東鎮中山路３段２５８號,(03)9561067,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,3534020297,周建章診所,宜蘭縣羅東鎮集祥里長春路２１號,(03)9545081,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,3534020180,吳眼科診所,宜蘭縣羅東鎮公正里公正路９６號,(03)9541905,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
105,臺北,宜蘭縣,1340802044,山水,3534020537,普濟診所,宜蘭縣羅東鎮興東南路２３３號,(03)9569270,0991-233030,1134020019,醫療財團法人羅許/基金會羅東博愛醫院,1234020011,財團法人天主教靈醫會羅東聖母醫院,,,,,,,,,,
