"STName","PType","Tel","Address","full_addre","Town","Vill","Response_X","Response_Y"
"二城國小","分部","03-9711024","宜蘭縣頭城鎮青雲路二段200號","宜蘭縣頭城鎮頂埔里10鄰青雲路二段200號","頭城鎮","頂埔里",121.805803,24.843564
"協和社區","分部","03-9501115","宜蘭縣五結鄉五結路二段199號","宜蘭縣五結鄉協和村5鄰五結路二段199號","五結鄉","協和村",121.804461,24.688298
"順和社區","分部","0937522016","宜蘭縣壯圍鄉順和路28-2號","宜蘭縣壯圍鄉忠孝村15鄰順和路28之2號","壯圍鄉","忠孝村",121.803403,24.761623
"南澳國小","本部","03-9981228","宜蘭縣南澳鄉南澳村中正路15號","宜蘭縣南澳鄉南澳村3鄰中正路15號","南澳鄉","南澳村",121.800587,24.467302
"五結國小","分部","","宜蘭縣五結鄉五結中路二段88號","宜蘭縣五結鄉五結村15鄰五結中路二段88號","五結鄉","五結村",121.798525,24.686975
"香和分部","分部","03-959-4582","宜蘭縣冬山鄉香和路138巷24號","宜蘭縣冬山鄉香和村3鄰香和路138巷24號","冬山鄉","香和村",121.797404,24.627662
"冬山鄉公所","本部","03-9591105；分機114或116","宜蘭縣冬山鄉冬山路100號","宜蘭縣冬山鄉南興村9鄰冬山路100號","冬山鄉","南興村",121.792976,24.634322
"冬山分部","分部","03-959-2718","宜蘭縣冬山鄉中正路20號","宜蘭縣冬山鄉冬山村13鄰中正路20號","冬山鄉","冬山村",121.79139,24.63601
"壯圍國小","本部","03-9384442分機105","宜蘭縣壯圍鄉壯五路55號","宜蘭縣壯圍鄉吉祥村6鄰壯五路55號","壯圍鄉","吉祥村",121.79008,24.743591
"碧候基督長老教會","分部","","宜蘭縣南澳鄉碧候村信義路陽明巷57號","宜蘭縣南澳鄉碧候村6鄰信義路陽明巷57號","南澳鄉","碧候村",121.787026,24.475065
"三興社區","分部","","宜蘭縣五結鄉三結五路188號","宜蘭縣五結鄉三興村9鄰三結五路188號","五結鄉","三興村",121.78211,24.703741
"黎明社區發展協會","分部","0933770770","宜蘭市黎明路326號","宜蘭縣宜蘭市黎明里3鄰黎明路326號","宜蘭市","黎明里",121.775985,24.744022
"太和分部","分部","0928-076-021","宜蘭縣冬山鄉太和村太和路238號","宜蘭縣冬山鄉太和村9鄰太和路238號","冬山鄉","太和村",121.773223,24.632365
"南昌活動中心","分部","03-9556157","宜蘭縣羅東鎮站前南路1號","宜蘭縣羅東鎮南昌里5鄰站前南路1號","羅東鎮","南昌里",121.772483,24.669003
"永美分部","分部","0921-131-028","宜蘭縣冬山鄉永興路一段189號","宜蘭縣冬山鄉永美村13鄰永興路一段189號","冬山鄉","永美村",121.771303,24.655405
"大新社區","分部","03-9571671","宜蘭縣羅東鎮中正路128號","宜蘭縣羅東鎮大新里17鄰中正路128號","羅東鎮","大新里",121.771374,24.676037
"二結社區","分部","","宜蘭縣五結鄉中正路三段151號","宜蘭縣五結鄉二結村9鄰中正路三段151號","五結鄉","二結村",121.770482,24.706931
"興中國中","分部","","宜蘭縣五結鄉中正東路50號","宜蘭縣五結鄉上四村10鄰中正東路50號","五結鄉","上四村",121.770411,24.698984
"信義社區活動中心","分部","03-9540355","宜蘭縣羅東鎮中華路189號","宜蘭縣羅東鎮信義里21鄰中華路189號","羅東鎮","信義里",121.768578,24.683542
"礁溪國小","本部","03-9882047分機160","宜蘭縣礁溪鄉礁溪路四段135號","宜蘭縣礁溪鄉大忠村7鄰礁溪路四段135號","礁溪鄉","大忠村",121.768531,24.821688
"丸山分部","分部","0928-100-522","宜蘭縣冬山鄉港尾路98號","宜蘭縣冬山鄉丸山村9鄰港尾路98號","冬山鄉","丸山村",121.76628,24.642622
"清溝分部","分部","0919-283-971","宜蘭縣冬山鄉光明路51號","宜蘭縣冬山鄉清溝村13鄰光明路51號","冬山鄉","清溝村",121.76608,24.666488
"順安分部","分部","03-958-0300","宜蘭縣冬山鄉義成路二段378巷87號","宜蘭縣冬山鄉順安村27鄰義成路二段378巷87號","冬山鄉","順安村",121.764801,24.653692
"原住民文教促進會","分部","03-9567845","宜蘭縣羅東鎮純精路二段58號","宜蘭縣羅東鎮漢民里32鄰純精路二段58號","羅東鎮","漢民里",121.763871,24.675547
"成功/國小","本部","03-9542156分機104","宜蘭縣羅東鎮興東南路100號","宜蘭縣羅東鎮成功里2鄰興東南路100號","羅東鎮","成功里",121.762497,24.672712
"林美社區","分部","03-9875626","宜蘭縣礁溪鄉林尾路66號","宜蘭縣礁溪鄉林美村7鄰林尾路66號","礁溪鄉","林美村",121.754711,24.816689
"鹿埔分部","分部","03-968-0367","宜蘭縣冬山鄉鹿埔路490號","宜蘭縣冬山鄉鹿埔村10鄰鹿埔路490號","冬山鄉","鹿埔村",121.750733,24.655695
"擺/厘里辦公處","分部","03-9330827","宜蘭市擺厘路11-27號","宜蘭縣宜蘭市擺厘里12鄰擺厘路11之27號","宜蘭市","擺厘里",121.749622,24.744586
"宜蘭縣立復興國民中學","本部","03-9322942分機5024","宜蘭市復興路二段77號","宜蘭縣宜蘭市文化里9鄰復興路二段77號","宜蘭市","文化里",121.746853,24.749036
"進士里辦公處","分部","03-9312049","宜蘭市進士路53-1號","宜蘭縣宜蘭市進士里7鄰進士路53之1號","宜蘭市","進士里",121.746344,24.741438
"尾塹分部","分部","0952-928646","宜蘭縣三星鄉上將路一段249巷30號","宜蘭縣三星鄉尾塹村9鄰上將路一段249巷30號","三星鄉","尾塹村",121.745222,24.701012
"宜蘭仁愛之家","分部","03-9283880","宜蘭縣礁溪鄉龍泉路31號","宜蘭縣礁溪鄉龍潭村13鄰龍泉路31號","礁溪鄉","龍潭村",121.742777,24.784054
"泰山里辦公處","分部","03-9324258","宜蘭市建軍路36號","宜蘭縣宜蘭市泰山里6鄰建軍路36號","宜蘭市","泰山里",121.73776,24.752478
"大洲分部","分部","0933-103772","宜蘭縣三星鄉五分路二段180號","宜蘭縣三星鄉大洲村7鄰五分路二段180號","三星鄉","大洲村",121.730625,24.692294
"柯林分部","分部","03-959-1105","宜蘭縣冬山鄉柯林村光華路209號","宜蘭縣冬山鄉柯林村10鄰光華路209號","冬山鄉","柯林村",121.729876,24.67656
"員山鄉農會","分部","03-9222161","宜蘭縣員山鄉員山村員山路一段210號","宜蘭縣員山鄉員山村22鄰員山路一段210號","員山鄉","員山村",121.72657,24.745607
"深溝國小","分部","03-9224860","宜蘭縣員山鄉深溝村惠民路266號","宜蘭縣員山鄉深溝村2鄰惠民路266號","員山鄉","深溝村",121.724114,24.723361
"員山國小","本部","03-9224061","宜蘭縣員山鄉復興路39號","宜蘭縣員山鄉員山村37鄰復興路39號","員山鄉","員山村",121.722724,24.744105
"結頭份社區發展協會","分部","03-9220683","宜蘭縣員山鄉頭份村永金二路157巷16號","宜蘭縣員山鄉永和村21鄰永金二路157巷16號","員山鄉","永和村",121.721672,24.754982
"寒溪分部","分部","03-9517460","宜蘭縣大同鄉寒溪村寒溪巷55-5號","宜蘭縣大同鄉寒溪村9鄰寒溪巷55之5號","大同鄉","寒溪村",121.688711,24.610343
"月眉分部","分部","0937-813183","宜蘭縣三星鄉月眉村三星路4段318號","宜蘭縣三星鄉月眉村3鄰三星路四段318號","三星鄉","月眉村",121.656623,24.667371
"三星國中","本部","03-9892012分機228","宜蘭縣三星鄉月眉街54號","宜蘭縣三星鄉月眉村6鄰月眉街54號","三星鄉","月眉村",121.65373,24.6678
"天送埤分部","分部","0939-007529","宜蘭縣三星鄉天山村福山街119號","宜蘭縣三星鄉天山村13鄰福山街119號","三星鄉","天山村",121.618469,24.661549
"樂水分部","分部","03-9801509","宜蘭縣大同鄉樂水村碼崙路59號","宜蘭縣大同鄉樂水村4鄰碼崙路59號","大同鄉","樂水村",121.530546,24.599493
"金岳社區發展協會","分部","","宜蘭縣南澳鄉金岳村12號","宜蘭縣南澳鄉金岳村1鄰金岳路12號","南澳鄉","金岳村",121.776347,24.47093
"武塔社區活動中心","分部","","宜蘭縣南澳鄉武塔村新溪路溫泉巷7之1號","宜蘭縣南澳鄉武塔村6鄰新溪路溫泉巷7之1號","南澳鄉","武塔村",121.777363,24.443684
"光與影民宿","分部","03-232713","宜蘭縣員山鄉尚德村大湖20路25號","宜蘭縣員山鄉尚德村18鄰大湖二十路25號","員山鄉","尚德村",121.711185,24.734025
"四/方林分部","分部","03-9517460","宜蘭縣大同鄉寒溪村自強新村1號","宜蘭縣大同鄉寒溪村1鄰自強新村1之50號","大同鄉","寒溪村",121.705224,24.614295
"大隱分部","分部","0933-104114","宜蘭縣三星鄉三星路一段553巷48號","宜蘭縣三星鄉大隱村三星路一段553巷48號","三星鄉","大隱村",121.714882,24.668743
"大安藥草休閒農場","分部","03-9232808","宜蘭縣員山鄉同樂村蘭城路42-21號","宜蘭縣員山鄉同樂村33鄰蘭城路42之21號","員山鄉","同樂村",121.730271,24.770777
"錦草社區","分部","","宜蘭縣五結鄉錦草路37-1號","宜蘭縣五結鄉錦眾村3鄰錦草路37之1號","五結鄉","錦眾村",121.820569,24.7076
"南興分部","分部","03-959-0295","宜蘭縣冬山鄉冬山路98號之2","宜蘭縣冬山鄉南興村8鄰冬山路98之2號","冬山鄉","南興村",121.794619,24.633076
"大興分部","分部","03-959-6722","宜蘭縣冬山鄉福興東路48號","宜蘭縣冬山鄉大興村4鄰福興東路48號","冬山鄉","大興村",121.809903,24.628579
"蘇澳鎮新城社區","分部","03-9903816","宜蘭縣蘇澳鎮新城北路50-1號","找不到指定的門牌地址。","指定的","門牌地",NA,NA
"大同國小","本部","03-9801172分機21","宜蘭縣大同鄉崙埤村朝陽巷10-9號","宜蘭縣大同鄉崙埤村4鄰朝陽10之9號","大同鄉","崙埤村",121.608901,24.678457
"竹安國小","分部","03-9771178","宜蘭縣頭城鎮濱海路一段601號","宜蘭縣頭城鎮竹安里10鄰頭濱路一段601號","頭城鎮","竹安里",121.82063,24.825164
"武營活動中心","分部","0935169273；(呂齡齡老師)","宜蘭縣頭城鎮武營里開蘭路","宜蘭縣頭城鎮武營里4鄰開蘭路224號","頭城鎮","武營里",121.825935,24.861105
